OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
12;"Tram";"5 | 17 | 19";"05|17|19";"LINESTRING(4.875852 52.372026,4.875865 52.371908,4.87592 52.37182,4.876921 52.370414,4.877208 52.370005,4.877442 52.369649,4.877879 52.36904)";"LINESTRING(52.372026 4.875852,52.371908 4.875865,52.37182 4.87592,52.370414 4.876921,52.370005 4.877208,52.369649 4.877442,52.36904 4.877879)";4.8768655;52.370533
13;"Tram";"5 | 19";"05|19";"LINESTRING(4.877879 52.36904,4.878176 52.368623)";"LINESTRING(52.36904 4.877879,52.368623 4.878176)";4.8780275;52.3688315
14;"Tram";"17";"17";"LINESTRING(4.877879 52.36904,4.877905 52.368975,4.877907 52.368924,4.877894 52.368872,4.877842 52.368811,4.877794 52.368773,4.877699 52.368732)";"LINESTRING(52.36904 4.877879,52.368975 4.877905,52.368924 4.877907,52.368872 4.877894,52.368811 4.877842,52.368773 4.877794,52.368732 4.877699)";4.877803;52.368886
15;"Tram";"5 | 12";"05|12";"LINESTRING(4.87872 52.357935,4.878687 52.358019,4.878693 52.358073,4.878725 52.358136,4.878786 52.358187,4.87889 52.358237)";"LINESTRING(52.357935 4.87872,52.358019 4.878687,52.358073 4.878693,52.358136 4.878725,52.358187 4.878786,52.358237 4.87889)";4.8787885;52.358086
16;"Tram";"2 | 5 | 12";"02|05|12";"LINESTRING(4.880841 52.363063,4.880747 52.362986,4.880691 52.362915,4.880659 52.362829,4.880659 52.362736,4.880699 52.362652,4.880882 52.362425,4.880972 52.362341,4.881087 52.362267,4.88211 52.361777,4.882214 52.3617,4.882304 52.361602,4.883215 52.360339,4.883297 52.360154,4.883594 52.359743,4.883619 52.359662,4.883613 52.359594,4.883563 52.35953,4.883494 52.359479,4.883365 52.359434,4.87889 52.358237)";"LINESTRING(52.363063 4.880841,52.362986 4.880747,52.362915 4.880691,52.362829 4.880659,52.362736 4.880659,52.362652 4.880699,52.362425 4.880882,52.362341 4.880972,52.362267 4.881087,52.361777 4.88211,52.3617 4.882214,52.361602 4.882304,52.360339 4.883215,52.360154 4.883297,52.359743 4.883594,52.359662 4.883619,52.359594 4.883613,52.35953 4.883563,52.359479 4.883494,52.359434 4.883365,52.358237 4.87889)";4.8812545;52.36065
17;"Tram";"13 | 19";"13|19";"LINESTRING(4.859967 52.371499,4.860656 52.371363,4.861523 52.371208,4.862961 52.370935,4.863207 52.37087,4.863375 52.370801,4.863925 52.370537,4.864099 52.370456,4.865258 52.370057,4.865408 52.370026,4.865622 52.369997,4.865862 52.369989,4.866079 52.370004,4.866292 52.370043,4.866926 52.370184,4.86739 52.370276,4.868102 52.370438,4.868652 52.370563,4.869189 52.370696,4.869868 52.370845,4.870002 52.370873)";"LINESTRING(52.371499 4.859967,52.371363 4.860656,52.371208 4.861523,52.370935 4.862961,52.37087 4.863207,52.370801 4.863375,52.370537 4.863925,52.370456 4.864099,52.370057 4.865258,52.370026 4.865408,52.369997 4.865622,52.369989 4.865862,52.370004 4.866079,52.370043 4.866292,52.370184 4.866926,52.370276 4.86739,52.370438 4.868102,52.370563 4.868652,52.370696 4.869189,52.370845 4.869868,52.370873 4.870002)";4.8649845;52.370744
18;"Tram";"13";"13";"LINESTRING(4.818901 52.375991,4.818933 52.375999,4.818968 52.376006,4.819053 52.376016,4.819148 52.376011,4.819244 52.37599,4.819313 52.375959,4.819378 52.375915)";"LINESTRING(52.375991 4.818901,52.375999 4.818933,52.376006 4.818968,52.376016 4.819053,52.376011 4.819148,52.37599 4.819244,52.375959 4.819313,52.375915 4.819378)";4.8191395;52.3759655
19;"Tram";"7";"07";"LINESTRING(4.819378 52.375915,4.819304 52.375992,4.819273 52.376031,4.819254 52.376075,4.819247 52.376117,4.819256 52.376175,4.819257 52.376246)";"LINESTRING(52.375915 4.819378,52.375992 4.819304,52.376031 4.819273,52.376075 4.819254,52.376117 4.819247,52.376175 4.819256,52.376246 4.819257)";4.8193125;52.3760805
20;"Tram";"17";"17";"LINESTRING(4.852064 52.358063,4.852313 52.358111,4.852436 52.358173,4.852944 52.358554,4.853139 52.358706,4.853232 52.3588,4.853341 52.358986)";"LINESTRING(52.358063 4.852064,52.358111 4.852313,52.358173 4.852436,52.358554 4.852944,52.358706 4.853139,52.3588 4.853232,52.358986 4.853341)";4.8527025;52.3585245
21;"Tram";"5 | 24";"05|24";"LINESTRING(4.876902 52.347097,4.877182 52.348892,4.877214 52.348994,4.877276 52.349099,4.87737 52.349199,4.878559 52.350283,4.878652 52.350387,4.878715 52.350492,4.879099 52.351304,4.87915 52.351369,4.879201 52.351418,4.879273 52.351471,4.879354 52.351517,4.882154 52.352695)";"LINESTRING(52.347097 4.876902,52.348892 4.877182,52.348994 4.877214,52.349099 4.877276,52.349199 4.87737,52.350283 4.878559,52.350387 4.878652,52.350492 4.878715,52.351304 4.879099,52.351369 4.87915,52.351418 4.879201,52.351471 4.879273,52.351517 4.879354,52.352695 4.882154)";4.879528;52.349896
