OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
60;"Tram";"2";"02";"LINESTRING(4.850615 52.351034,4.850265 52.351058,4.84986 52.351066,4.849727 52.35109,4.849616 52.351145,4.849557 52.351208,4.849535 52.351281,4.849539 52.351386,4.84949 52.351513,4.849446 52.351571,4.849323 52.351601,4.849211 52.351613,4.846184 52.351592,4.845329 52.351584,4.842868 52.351562,4.840877 52.351551,4.836996 52.35153,4.834334 52.351505,4.829685 52.351453,4.827817 52.351431,4.827695 52.351424,4.827595 52.351388,4.827511 52.351344,4.827452 52.351291,4.827418 52.351231,4.827417 52.351164,4.827477 52.349164,4.827539 52.347088,4.827508 52.347013,4.827447 52.346955,4.827373 52.346908,4.827306 52.346883,4.827186 52.346859,4.825183 52.346728,4.824626 52.346694,4.823732 52.346638,4.823415 52.346656,4.823099 52.346664,4.822786 52.346649,4.821328 52.346559,4.820611 52.34652,4.816059 52.346463,4.812071 52.346419,4.81147 52.3464,4.811155 52.346383,4.81092 52.34636,4.810567 52.346316,4.810161 52.346241,4.80679 52.345562,4.804186 52.345034,4.803951 52.345,4.803494 52.34499,4.803403 52.344994,4.803306 52.345016,4.803234 52.345045,4.80318 52.345084,4.803136 52.345131,4.803021 52.345273,4.802967 52.34531,4.802907 52.345337,4.802844 52.345355,4.802763 52.345363,4.802698 52.345361,4.802625 52.345351,4.802568 52.345332,4.802518 52.345309,4.802474 52.345279,4.802435 52.345241,4.802418 52.345201,4.80241 52.345159,4.80242 52.345113,4.802449 52.345068,4.802485 52.345035,4.802539 52.345002,4.802623 52.344971,4.802868 52.344924,4.803003 52.344914,4.803231 52.344922,4.803951 52.345)";"LINESTRING(52.351034 4.850615,52.351058 4.850265,52.351066 4.84986,52.35109 4.849727,52.351145 4.849616,52.351208 4.849557,52.351281 4.849535,52.351386 4.849539,52.351513 4.84949,52.351571 4.849446,52.351601 4.849323,52.351613 4.849211,52.351592 4.846184,52.351584 4.845329,52.351562 4.842868,52.351551 4.840877,52.35153 4.836996,52.351505 4.834334,52.351453 4.829685,52.351431 4.827817,52.351424 4.827695,52.351388 4.827595,52.351344 4.827511,52.351291 4.827452,52.351231 4.827418,52.351164 4.827417,52.349164 4.827477,52.347088 4.827539,52.347013 4.827508,52.346955 4.827447,52.346908 4.827373,52.346883 4.827306,52.346859 4.827186,52.346728 4.825183,52.346694 4.824626,52.346638 4.823732,52.346656 4.823415,52.346664 4.823099,52.346649 4.822786,52.346559 4.821328,52.34652 4.820611,52.346463 4.816059,52.346419 4.812071,52.3464 4.81147,52.346383 4.811155,52.34636 4.81092,52.346316 4.810567,52.346241 4.810161,52.345562 4.80679,52.345034 4.804186,52.345 4.803951,52.34499 4.803494,52.344994 4.803403,52.345016 4.803306,52.345045 4.803234,52.345084 4.80318,52.345131 4.803136,52.345273 4.803021,52.34531 4.802967,52.345337 4.802907,52.345355 4.802844,52.345363 4.802763,52.345361 4.802698,52.345351 4.802625,52.345332 4.802568,52.345309 4.802518,52.345279 4.802474,52.345241 4.802435,52.345201 4.802418,52.345159 4.80241,52.345113 4.80242,52.345068 4.802449,52.345035 4.802485,52.345002 4.802539,52.344971 4.802623,52.344924 4.802868,52.344914 4.803003,52.344922 4.803231,52.345 4.803951)";4.8265125;52.3482635
62;"Tram";"1 | 17";"01|17";"LINESTRING(4.84392 52.357998,4.843596 52.357951,4.842906 52.357829,4.842653 52.357796,4.84249 52.357791,4.84232 52.357794,4.842137 52.357814,4.841259 52.35794,4.841005 52.357967,4.840032 52.357957,4.833904 52.357889,4.827325 52.357816,4.825553 52.357796,4.818844 52.357719,4.817779 52.357697,4.817219 52.357667,4.816654 52.357619,4.816085 52.357552,4.815598 52.357482,4.815153 52.357407,4.81477 52.357334,4.812054 52.356786,4.810137 52.356401,4.809887 52.35635)";"LINESTRING(52.357998 4.84392,52.357951 4.843596,52.357829 4.842906,52.357796 4.842653,52.357791 4.84249,52.357794 4.84232,52.357814 4.842137,52.35794 4.841259,52.357967 4.841005,52.357957 4.840032,52.357889 4.833904,52.357816 4.827325,52.357796 4.825553,52.357719 4.818844,52.357697 4.817779,52.357667 4.817219,52.357619 4.816654,52.357552 4.816085,52.357482 4.815598,52.357407 4.815153,52.357334 4.81477,52.356786 4.812054,52.356401 4.810137,52.35635 4.809887)";4.8269035;52.357174
63;"Tram";"7";"07";"LINESTRING(4.845748 52.377877,4.845135 52.377758,4.845032 52.377755,4.844927 52.377769,4.843679 52.37796,4.841996 52.378194,4.83887 52.378686,4.83788 52.378837,4.832243 52.379721,4.826824 52.380571,4.821738 52.381368,4.821574 52.38136,4.821459 52.381325,4.821376 52.381268,4.821334 52.381206,4.819257 52.376246,4.819201 52.376176,4.819162 52.376121,4.819118 52.376085,4.819062 52.376054,4.818996 52.376026,4.818901 52.375991)";"LINESTRING(52.377877 4.845748,52.377758 4.845135,52.377755 4.845032,52.377769 4.844927,52.37796 4.843679,52.378194 4.841996,52.378686 4.83887,52.378837 4.83788,52.379721 4.832243,52.380571 4.826824,52.381368 4.821738,52.38136 4.821574,52.381325 4.821459,52.381268 4.821376,52.381206 4.821334,52.376246 4.819257,52.376176 4.819201,52.376121 4.819162,52.376085 4.819118,52.376054 4.819062,52.376026 4.818996,52.375991 4.818901)";4.8323245;52.3786795
64;"Tram";"13";"13";"LINESTRING(4.818704 52.375485,4.818742 52.37546,4.818785 52.375438,4.818841 52.375419,4.818912 52.375404,4.818957 52.375399,4.819031 52.375398,4.819094 52.375405,4.819152 52.375416)";"LINESTRING(52.375485 4.818704,52.37546 4.818742,52.375438 4.818785,52.375419 4.818841,52.375404 4.818912,52.375399 4.818957,52.375398 4.819031,52.375405 4.819094,52.375416 4.819152)";4.818928;52.3754415
65;"Tram";"7 | 13";"07|13";"LINESTRING(4.819378 52.375915,4.819507 52.375781)";"LINESTRING(52.375915 4.819378,52.375781 4.819507)";4.8194425;52.375848
66;"Tram";"7";"07";"LINESTRING(4.819387 52.375501,4.819433 52.375526,4.819474 52.375557,4.819505 52.375592,4.819527 52.375629,4.819537 52.375662,4.819538 52.375703,4.819526 52.375747,4.819507 52.375781)";"LINESTRING(52.375501 4.819387,52.375526 4.819433,52.375557 4.819474,52.375592 4.819505,52.375629 4.819527,52.375662 4.819537,52.375703 4.819538,52.375747 4.819526,52.375781 4.819507)";4.8194625;52.375641
67;"Tram";"7 | 13";"07|13";"LINESTRING(4.818552 52.375642,4.818704 52.375485)";"LINESTRING(52.375642 4.818552,52.375485 4.818704)";4.818628;52.3755635
68;"Tram";"7 | 13";"07|13";"LINESTRING(4.818901 52.375991,4.818692 52.375917)";"LINESTRING(52.375991 4.818901,52.375917 4.818692)";4.8187965;52.375954
69;"Tram";"7";"07";"LINESTRING(4.818692 52.375917,4.818631 52.375884,4.818596 52.375857,4.818564 52.375822,4.818547 52.375796,4.818533 52.375756,4.81853 52.37571,4.818538 52.375676,4.818552 52.375642)";"LINESTRING(52.375917 4.818692,52.375884 4.818631,52.375857 4.818596,52.375822 4.818564,52.375796 4.818547,52.375756 4.818533,52.37571 4.81853,52.375676 4.818538,52.375642 4.818552)";4.818611;52.3757795
70;"Tram";"7 | 13";"07|13";"LINESTRING(4.819152 52.375416,4.819387 52.375501)";"LINESTRING(52.375416 4.819152,52.375501 4.819387)";4.8192695;52.3754585
71;"Tram";"13";"13";"LINESTRING(4.818692 52.375917,4.818536 52.375862,4.818457 52.375843,4.818383 52.375835,4.818224 52.375832)";"LINESTRING(52.375917 4.818692,52.375862 4.818536,52.375843 4.818457,52.375835 4.818383,52.375832 4.818224)";4.818458;52.3758745
72;"Tram";"7";"07";"LINESTRING(4.818704 52.375485,4.818775 52.375409,4.81881 52.375348,4.818822 52.375297,4.818818 52.375245,4.81883 52.375213)";"LINESTRING(52.375485 4.818704,52.375409 4.818775,52.375348 4.81881,52.375297 4.818822,52.375245 4.818818,52.375213 4.81883)";4.818767;52.375349
73;"Tram";"13";"13";"LINESTRING(4.819387 52.375501,4.819499 52.37554,4.81959 52.375563,4.819666 52.375572,4.819747 52.375572,4.819824 52.375585)";"LINESTRING(52.375501 4.819387,52.37554 4.819499,52.375563 4.81959,52.375572 4.819666,52.375572 4.819747,52.375585 4.819824)";4.8196055;52.375543
74;"Tram";"13";"13";"LINESTRING(4.850604 52.370098,4.849459 52.369903,4.848926 52.369817,4.847376 52.369546,4.846734 52.369456,4.846147 52.369401,4.845544 52.36937,4.845268 52.369363,4.845118 52.369373,4.844962 52.369401,4.844831 52.36943,4.844679 52.369441,4.844117 52.369434,4.841932 52.369407,4.840999 52.369403,4.840293 52.369426,4.839551 52.36948,4.839023 52.369533,4.838204 52.369648,4.837743 52.369713,4.837612 52.369756,4.837519 52.369821,4.837475 52.36988,4.837466 52.369944,4.837489 52.370025,4.838105 52.371488,4.838493 52.372409,4.838499 52.3725,4.838455 52.372582,4.838351 52.372655,4.838176 52.372707,4.835824 52.373076,4.835498 52.373127,4.827313 52.374411,4.819824 52.375585,4.819767 52.375614,4.819683 52.375644,4.819638 52.375667,4.819585 52.375706,4.819507 52.375781)";"LINESTRING(52.370098 4.850604,52.369903 4.849459,52.369817 4.848926,52.369546 4.847376,52.369456 4.846734,52.369401 4.846147,52.36937 4.845544,52.369363 4.845268,52.369373 4.845118,52.369401 4.844962,52.36943 4.844831,52.369441 4.844679,52.369434 4.844117,52.369407 4.841932,52.369403 4.840999,52.369426 4.840293,52.36948 4.839551,52.369533 4.839023,52.369648 4.838204,52.369713 4.837743,52.369756 4.837612,52.369821 4.837519,52.36988 4.837475,52.369944 4.837466,52.370025 4.837489,52.371488 4.838105,52.372409 4.838493,52.3725 4.838499,52.372582 4.838455,52.372655 4.838351,52.372707 4.838176,52.373076 4.835824,52.373127 4.835498,52.374411 4.827313,52.375585 4.819824,52.375614 4.819767,52.375644 4.819683,52.375667 4.819638,52.375706 4.819585,52.375781 4.819507)";4.8350555;52.372572
75;"Tram";"7";"07";"LINESTRING(4.819152 52.375416,4.819027 52.375369,4.818955 52.375332,4.818898 52.375285,4.818865 52.375239,4.81883 52.375213,4.818166 52.373623,4.818115 52.37355,4.817823 52.372852,4.817807 52.372797,4.817812 52.372757,4.817826 52.372722,4.817859 52.372685,4.817897 52.372656,4.81795 52.372632,4.818021 52.372612,4.818213 52.37258,4.818374 52.372556,4.81844 52.372552,4.8185 52.372552,4.818581 52.372565,4.818654 52.372587,4.818723 52.372617,4.818773 52.372659,4.818811 52.372708,4.818873 52.372849,4.818886 52.372893,4.818889 52.372941,4.818883 52.372987,4.818864 52.373029,4.818825 52.37307,4.818781 52.373103,4.818681 52.373165,4.818289 52.373402,4.818243 52.373437,4.818214 52.37347,4.818193 52.373509,4.818181 52.373547,4.818166 52.373623)";"LINESTRING(52.375416 4.819152,52.375369 4.819027,52.375332 4.818955,52.375285 4.818898,52.375239 4.818865,52.375213 4.81883,52.373623 4.818166,52.37355 4.818115,52.372852 4.817823,52.372797 4.817807,52.372757 4.817812,52.372722 4.817826,52.372685 4.817859,52.372656 4.817897,52.372632 4.81795,52.372612 4.818021,52.37258 4.818213,52.372556 4.818374,52.372552 4.81844,52.372552 4.8185,52.372565 4.818581,52.372587 4.818654,52.372617 4.818723,52.372659 4.818773,52.372708 4.818811,52.372849 4.818873,52.372893 4.818886,52.372941 4.818889,52.372987 4.818883,52.373029 4.818864,52.37307 4.818825,52.373103 4.818781,52.373165 4.818681,52.373402 4.818289,52.373437 4.818243,52.37347 4.818214,52.373509 4.818193,52.373547 4.818181,52.373623 4.818166)";4.8184795;52.373984
76;"Tram";"13";"13";"LINESTRING(4.818552 52.375642,4.81848 52.375712,4.818434 52.375749,4.818372 52.375781,4.818309 52.375802,4.818224 52.375832,4.817859 52.375891,4.812448 52.376429,4.811647 52.376508,4.811445 52.37652,4.811243 52.376516,4.811048 52.376506,4.810825 52.376513,4.806463 52.376945,4.803269 52.377261,4.80315 52.377306,4.803092 52.377334,4.803046 52.377365,4.803003 52.377407,4.802979 52.377455,4.80297 52.3775,4.802963 52.37763,4.802944 52.377679,4.802903 52.37772,4.802857 52.377751,4.802786 52.377777,4.802722 52.377788,4.802666 52.377791,4.802269 52.377786,4.80219 52.377775,4.80212 52.377756,4.802054 52.377728,4.801998 52.377688,4.801962 52.377643,4.801943 52.377596,4.801939 52.377547,4.801953 52.377498,4.80199 52.377451,4.802044 52.377408,4.802131 52.377369,4.802218 52.377349,4.80313 52.377259,4.803269 52.377261)";"LINESTRING(52.375642 4.818552,52.375712 4.81848,52.375749 4.818434,52.375781 4.818372,52.375802 4.818309,52.375832 4.818224,52.375891 4.817859,52.376429 4.812448,52.376508 4.811647,52.37652 4.811445,52.376516 4.811243,52.376506 4.811048,52.376513 4.810825,52.376945 4.806463,52.377261 4.803269,52.377306 4.80315,52.377334 4.803092,52.377365 4.803046,52.377407 4.803003,52.377455 4.802979,52.3775 4.80297,52.37763 4.802963,52.377679 4.802944,52.37772 4.802903,52.377751 4.802857,52.377777 4.802786,52.377788 4.802722,52.377791 4.802666,52.377786 4.802269,52.377775 4.80219,52.377756 4.80212,52.377728 4.802054,52.377688 4.801998,52.377643 4.801962,52.377596 4.801943,52.377547 4.801939,52.377498 4.801953,52.377451 4.80199,52.377408 4.802044,52.377369 4.802131,52.377349 4.802218,52.377259 4.80313,52.377261 4.803269)";4.8102455;52.3767165
77;"Tram";"1";"01";"LINESTRING(4.774386 52.353901,4.774232 52.353943,4.7737 52.354156,4.773642 52.354189,4.773592 52.354232,4.773557 52.354288,4.773551 52.354338,4.773566 52.354396,4.773599 52.354445,4.774137 52.354951,4.774212 52.354995,4.7743 52.355019,4.7744 52.355031,4.774505 52.355026,4.774625 52.354996,4.774708 52.354947,4.774764 52.354893,4.774785 52.354835,4.774786 52.354776,4.774761 52.354718,4.774327 52.354306,4.774242 52.354227,4.774206 52.354169,4.774198 52.35412,4.774204 52.354068,4.774235 52.354017,4.774278 52.35398,4.774386 52.353901,4.774775 52.353745,4.776846 52.352917,4.781514 52.351049,4.783287 52.350338,4.785926 52.349277,4.786055 52.349246,4.786187 52.349247,4.786709 52.349352,4.787061 52.34943,4.787521 52.349558,4.788597 52.349776,4.793824 52.350833,4.794252 52.350885,4.794747 52.350985,4.802256 52.352505,4.802561 52.352567,4.803094 52.352685,4.807479 52.353579,4.808028 52.35372,4.808433 52.353814,4.808843 52.353897,4.810133 52.354156,4.810253 52.354202,4.810321 52.354259,4.810369 52.354333,4.810362 52.354417,4.809502 52.356007,4.809494 52.356087,4.809506 52.356141,4.80955 52.35621,4.809623 52.356266,4.809731 52.356312,4.809887 52.35635)";"LINESTRING(52.353901 4.774386,52.353943 4.774232,52.354156 4.7737,52.354189 4.773642,52.354232 4.773592,52.354288 4.773557,52.354338 4.773551,52.354396 4.773566,52.354445 4.773599,52.354951 4.774137,52.354995 4.774212,52.355019 4.7743,52.355031 4.7744,52.355026 4.774505,52.354996 4.774625,52.354947 4.774708,52.354893 4.774764,52.354835 4.774785,52.354776 4.774786,52.354718 4.774761,52.354306 4.774327,52.354227 4.774242,52.354169 4.774206,52.35412 4.774198,52.354068 4.774204,52.354017 4.774235,52.35398 4.774278,52.353901 4.774386,52.353745 4.774775,52.352917 4.776846,52.351049 4.781514,52.350338 4.783287,52.349277 4.785926,52.349246 4.786055,52.349247 4.786187,52.349352 4.786709,52.34943 4.787061,52.349558 4.787521,52.349776 4.788597,52.350833 4.793824,52.350885 4.794252,52.350985 4.794747,52.352505 4.802256,52.352567 4.802561,52.352685 4.803094,52.353579 4.807479,52.35372 4.808028,52.353814 4.808433,52.353897 4.808843,52.354156 4.810133,52.354202 4.810253,52.354259 4.810321,52.354333 4.810369,52.354417 4.810362,52.356007 4.809502,52.356087 4.809494,52.356141 4.809506,52.35621 4.80955,52.356266 4.809623,52.356312 4.809731,52.35635 4.809887)";4.79196;52.352798
78;"Tram";"17";"17";"LINESTRING(4.809887 52.35635,4.809739 52.356335,4.809621 52.356339,4.809494 52.356362,4.80938 52.356406,4.809284 52.356466,4.809213 52.356545,4.808201 52.358429,4.807557 52.359622,4.807181 52.360318,4.807117 52.360394,4.807021 52.360453,4.806908 52.360492,4.806771 52.36051,4.806641 52.360505,4.803641 52.359899,4.803486 52.359863,4.803369 52.359821,4.803298 52.359777,4.803235 52.359715,4.803191 52.359654,4.803181 52.35956,4.803203 52.359418,4.803258 52.359061,4.803234 52.358959,4.803157 52.358871,4.803042 52.358805,4.80291 52.358767,4.800463 52.358275,4.799095 52.358004,4.797065 52.357601,4.791584 52.356492,4.786911 52.355548,4.786743 52.355537,4.786666 52.35554,4.786581 52.355555,4.786502 52.355582,4.786454 52.355606,4.786409 52.355639,4.786367 52.355686,4.786307 52.355796,4.786272 52.355835,4.786217 52.355876,4.786143 52.355909,4.786062 52.355929,4.785992 52.355937,4.785928 52.355936,4.785865 52.35593,4.785797 52.355913,4.78574 52.355891,4.785689 52.355862,4.785649 52.35583,4.785617 52.35579,4.785599 52.35575,4.785594 52.355706,4.7856 52.355672,4.785633 52.355607,4.785684 52.355511,4.785718 52.355463,4.785761 52.355427,4.7858 52.355403,4.785854 52.355383,4.785916 52.355369,4.785983 52.355361,4.786058 52.355363,4.786152 52.355379,4.786757 52.355502,4.786911 52.355548)";"LINESTRING(52.35635 4.809887,52.356335 4.809739,52.356339 4.809621,52.356362 4.809494,52.356406 4.80938,52.356466 4.809284,52.356545 4.809213,52.358429 4.808201,52.359622 4.807557,52.360318 4.807181,52.360394 4.807117,52.360453 4.807021,52.360492 4.806908,52.36051 4.806771,52.360505 4.806641,52.359899 4.803641,52.359863 4.803486,52.359821 4.803369,52.359777 4.803298,52.359715 4.803235,52.359654 4.803191,52.35956 4.803181,52.359418 4.803203,52.359061 4.803258,52.358959 4.803234,52.358871 4.803157,52.358805 4.803042,52.358767 4.80291,52.358275 4.800463,52.358004 4.799095,52.357601 4.797065,52.356492 4.791584,52.355548 4.786911,52.355537 4.786743,52.35554 4.786666,52.355555 4.786581,52.355582 4.786502,52.355606 4.786454,52.355639 4.786409,52.355686 4.786367,52.355796 4.786307,52.355835 4.786272,52.355876 4.786217,52.355909 4.786143,52.355929 4.786062,52.355937 4.785992,52.355936 4.785928,52.35593 4.785865,52.355913 4.785797,52.355891 4.78574,52.355862 4.785689,52.35583 4.785649,52.35579 4.785617,52.35575 4.785599,52.355706 4.785594,52.355672 4.7856,52.355607 4.785633,52.355511 4.785684,52.355463 4.785718,52.355427 4.785761,52.355403 4.7858,52.355383 4.785854,52.355369 4.785916,52.355361 4.785983,52.355363 4.786058,52.355379 4.786152,52.355502 4.786757,52.355548 4.786911)";4.7977405;52.3579355
79;"Tram";"24";"24";"LINESTRING(4.876902 52.347097,4.876873 52.347032,4.87682 52.34698,4.876752 52.346937,4.876671 52.346908,4.876558 52.346894,4.874728 52.346824,4.872711 52.346744,4.872528 52.346736,4.870741 52.346658,4.868178 52.346558,4.867896 52.346546,4.867642 52.346523,4.867262 52.346475,4.866257 52.34634,4.865446 52.34623,4.861779 52.345712,4.8604 52.345524,4.858524 52.345272,4.857496 52.345135,4.856961 52.345062,4.856844 52.345037,4.856764 52.345004,4.856664 52.34494,4.856617 52.344868,4.8566 52.344795,4.856617 52.344716,4.856892 52.343958,4.857695 52.341743,4.85773 52.341591,4.857737 52.341414,4.85772 52.34124,4.857697 52.341126,4.857601 52.340667,4.857583 52.340519,4.857573 52.340332,4.857574 52.33933,4.857545 52.339233,4.85748 52.339137,4.85735 52.339014,4.85729 52.338921,4.857269 52.338836,4.857271 52.338394,4.857283 52.337586,4.857282 52.335474,4.857289 52.335397,4.85731 52.335329,4.857371 52.335268,4.857469 52.335218,4.857614 52.335191,4.859706 52.335186,4.861559 52.335159,4.86254 52.335156,4.865138 52.335164,4.865324 52.335167,4.865571 52.33519,4.865723 52.335206,4.865884 52.335213,4.866523 52.335214,4.866644 52.335198,4.867086 52.3352,4.867411 52.335201,4.867435 52.335201,4.867576 52.335204,4.86764 52.335214,4.867671 52.335221,4.867713 52.335237,4.867763 52.335264,4.867787 52.335284,4.867808 52.335306,4.867825 52.335334,4.867834 52.335358,4.867836 52.335394,4.867831 52.335421,4.867818 52.335454,4.867801 52.335479,4.867764 52.335516,4.867715 52.335548,4.867665 52.335571,4.867626 52.335583,4.867559 52.335596,4.867515 52.335601,4.867435 52.335599,4.867373 52.33559,4.867338 52.335582,4.867274 52.335559,4.867083 52.335456,4.866801 52.335302,4.866763 52.335283,4.866698 52.335257,4.866635 52.335243,4.866523 52.335214)";"LINESTRING(52.347097 4.876902,52.347032 4.876873,52.34698 4.87682,52.346937 4.876752,52.346908 4.876671,52.346894 4.876558,52.346824 4.874728,52.346744 4.872711,52.346736 4.872528,52.346658 4.870741,52.346558 4.868178,52.346546 4.867896,52.346523 4.867642,52.346475 4.867262,52.34634 4.866257,52.34623 4.865446,52.345712 4.861779,52.345524 4.8604,52.345272 4.858524,52.345135 4.857496,52.345062 4.856961,52.345037 4.856844,52.345004 4.856764,52.34494 4.856664,52.344868 4.856617,52.344795 4.8566,52.344716 4.856617,52.343958 4.856892,52.341743 4.857695,52.341591 4.85773,52.341414 4.857737,52.34124 4.85772,52.341126 4.857697,52.340667 4.857601,52.340519 4.857583,52.340332 4.857573,52.33933 4.857574,52.339233 4.857545,52.339137 4.85748,52.339014 4.85735,52.338921 4.85729,52.338836 4.857269,52.338394 4.857271,52.337586 4.857283,52.335474 4.857282,52.335397 4.857289,52.335329 4.85731,52.335268 4.857371,52.335218 4.857469,52.335191 4.857614,52.335186 4.859706,52.335159 4.861559,52.335156 4.86254,52.335164 4.865138,52.335167 4.865324,52.33519 4.865571,52.335206 4.865723,52.335213 4.865884,52.335214 4.866523,52.335198 4.866644,52.3352 4.867086,52.335201 4.867411,52.335201 4.867435,52.335204 4.867576,52.335214 4.86764,52.335221 4.867671,52.335237 4.867713,52.335264 4.867763,52.335284 4.867787,52.335306 4.867808,52.335334 4.867825,52.335358 4.867834,52.335394 4.867836,52.335421 4.867831,52.335454 4.867818,52.335479 4.867801,52.335516 4.867764,52.335548 4.867715,52.335571 4.867665,52.335583 4.867626,52.335596 4.867559,52.335601 4.867515,52.335599 4.867435,52.33559 4.867373,52.335582 4.867338,52.335559 4.867274,52.335456 4.867083,52.335302 4.866801,52.335283 4.866763,52.335257 4.866698,52.335243 4.866635,52.335214 4.866523)";4.866751;52.3411265
80;"Metro";"50 | 54";"50|54";"LINESTRING(4.989227 52.296347,4.985579 52.29633,4.980056 52.296313,4.979448 52.296306,4.978828 52.296277,4.978235 52.296237,4.977398 52.296147,4.97648 52.296009,4.974164 52.295619,4.971132 52.295097,4.970193 52.294918,4.968976 52.294704,4.96738 52.294436,4.966725 52.294348,4.966273 52.294318,4.965735 52.294327,4.965327 52.294358,4.964955 52.294405,4.96461 52.29447,4.964275 52.294551,4.963982 52.294638,4.963681 52.294747,4.963412 52.29486,4.963146 52.294991,4.962906 52.295126,4.962629 52.295311,4.962394 52.295508,4.962175 52.295715,4.962003 52.295903,4.961601 52.296369,4.961307 52.296713,4.960922 52.29715,4.96036 52.297765,4.95998 52.298182,4.958916 52.299351,4.958104 52.300238,4.95737 52.301042,4.956721 52.301734,4.95583 52.302719,4.955112 52.303492,4.954273 52.304407,4.953384 52.305393,4.952366 52.306514,4.952102 52.3068,4.951084 52.307912,4.950046 52.309043,4.948969 52.310196,4.947586 52.311697,4.947191 52.312132,4.945922 52.313498,4.944683 52.314867,4.943625 52.316057,4.942674 52.317097,4.941468 52.318424,4.939984 52.320046,4.938835 52.321298,4.938347 52.321808,4.937895 52.322263,4.937493 52.322655,4.936938 52.323181,4.936487 52.323607,4.935627 52.324408,4.935092 52.324915)";"LINESTRING(52.296347 4.989227,52.29633 4.985579,52.296313 4.980056,52.296306 4.979448,52.296277 4.978828,52.296237 4.978235,52.296147 4.977398,52.296009 4.97648,52.295619 4.974164,52.295097 4.971132,52.294918 4.970193,52.294704 4.968976,52.294436 4.96738,52.294348 4.966725,52.294318 4.966273,52.294327 4.965735,52.294358 4.965327,52.294405 4.964955,52.29447 4.96461,52.294551 4.964275,52.294638 4.963982,52.294747 4.963681,52.29486 4.963412,52.294991 4.963146,52.295126 4.962906,52.295311 4.962629,52.295508 4.962394,52.295715 4.962175,52.295903 4.962003,52.296369 4.961601,52.296713 4.961307,52.29715 4.960922,52.297765 4.96036,52.298182 4.95998,52.299351 4.958916,52.300238 4.958104,52.301042 4.95737,52.301734 4.956721,52.302719 4.95583,52.303492 4.955112,52.304407 4.954273,52.305393 4.953384,52.306514 4.952366,52.3068 4.952102,52.307912 4.951084,52.309043 4.950046,52.310196 4.948969,52.311697 4.947586,52.312132 4.947191,52.313498 4.945922,52.314867 4.944683,52.316057 4.943625,52.317097 4.942674,52.318424 4.941468,52.320046 4.939984,52.321298 4.938835,52.321808 4.938347,52.322263 4.937895,52.322655 4.937493,52.323181 4.936938,52.323607 4.936487,52.324408 4.935627,52.324915 4.935092)";4.9621595;52.3096165
81;"Metro";"50 | 53 | 54";"50|53|54";"LINESTRING(4.935092 52.324915,4.934736 52.32521,4.934285 52.325616,4.933788 52.326078,4.933119 52.326706,4.932706 52.327116,4.932295 52.327554,4.931454 52.328416,4.930729 52.329216,4.9303 52.329678,4.929686 52.330355,4.929177 52.330912,4.928727 52.331381,4.928418 52.331695,4.928058 52.332012,4.927739 52.33236,4.927231 52.3329)";"LINESTRING(52.324915 4.935092,52.32521 4.934736,52.325616 4.934285,52.326078 4.933788,52.326706 4.933119,52.327116 4.932706,52.327554 4.932295,52.328416 4.931454,52.329216 4.930729,52.329678 4.9303,52.330355 4.929686,52.330912 4.929177,52.331381 4.928727,52.331695 4.928418,52.332012 4.928058,52.33236 4.927739,52.3329 4.927231)";4.9311615;52.3289075
82;"Metro";"50";"50";"LINESTRING(4.921938 52.333001,4.922642 52.333246,4.923187 52.333398,4.923492 52.333471,4.923885 52.333531,4.924313 52.333578,4.924708 52.333582,4.925161 52.333547,4.92567 52.333466,4.926074 52.333374,4.926568 52.33321,4.927231 52.3329)";"LINESTRING(52.333001 4.921938,52.333246 4.922642,52.333398 4.923187,52.333471 4.923492,52.333531 4.923885,52.333578 4.924313,52.333582 4.924708,52.333547 4.925161,52.333466 4.92567,52.333374 4.926074,52.33321 4.926568,52.3329 4.927231)";4.9245845;52.333241
83;"Metro";"51";"51";"LINESTRING(4.921938 52.333001,4.922396 52.333254,4.922677 52.333445,4.922822 52.333556,4.923009 52.333726,4.923148 52.333871,4.923292 52.334046,4.923363 52.334145,4.92347 52.334326,4.923578 52.334558,4.923641 52.334767,4.923682 52.334982,4.923689 52.33513,4.923695 52.335497,4.92367 52.335871,4.923595 52.336342,4.923433 52.336857,4.923254 52.337268)";"LINESTRING(52.333001 4.921938,52.333254 4.922396,52.333445 4.922677,52.333556 4.922822,52.333726 4.923009,52.333871 4.923148,52.334046 4.923292,52.334145 4.923363,52.334326 4.92347,52.334558 4.923578,52.334767 4.923641,52.334982 4.923682,52.33513 4.923689,52.335497 4.923695,52.335871 4.92367,52.336342 4.923595,52.336857 4.923433,52.337268 4.923254)";4.9228165;52.3351345
84;"Metro";"53 | 54";"53|54";"LINESTRING(4.923254 52.337268,4.92406 52.336368,4.927231 52.3329)";"LINESTRING(52.337268 4.923254,52.336368 4.92406,52.3329 4.927231)";4.9252425;52.335084
